วันที่,เวลา,รหัสวิชา,ชื่อวิชา,ตอนเรียน,กลุ่มนักศึกษา,ห้องสอบ,ผู้คุมสอบ,ที่มา,สถานะ
2026-08-17,9-12,061000003,ระบบฐานข้อมูลเบื้องต้น,1,DEMO-C,,,สร้างอัตโนมัติ,จัดแล้ว
2026-08-17,9-12,061000004,การวิเคราะห์และออกแบบระบบ,1,DEMO-D,,,สร้างอัตโนมัติ,จัดแล้ว
2026-08-17,13-16,069000002,ฟิสิกส์วิศวกรรม 1,1,DEMO-A,,,นำเข้า,จัดแล้ว
2026-08-17,13-16,061000007,ความปลอดภัยในงานก่อสร้าง,1 2 3,DEMO-GA DEMO-GB DEMO-GC,,,สร้างอัตโนมัติ,จัดแล้ว
2026-08-18,9-12,061000006,การจัดการโลจิสติกส์เบื้องต้น,1,DEMO-F,,,นำเข้า,จัดแล้ว
2026-08-18,13-16,061000009,การบัญชีต้นทุน,1,DEMO-I,,,สร้างอัตโนมัติ,จัดแล้ว
2026-08-19,13-16,061000010,การตลาดและการจัดการลูกค้า,1 2,DEMO-J1 DEMO-J2,,,สร้างอัตโนมัติ,จัดแล้ว
2026-08-20,9-16,061000005,การบริหารโครงการก่อสร้าง,1,DEMO-E,,,สร้างอัตโนมัติ,จัดแล้ว
2026-08-21,13-16,061000011,การวิจัยดำเนินงาน,1,DEMO-K,,,สร้างอัตโนมัติ,จัดแล้ว
2026-08-25,9-12,061000001,การจัดการอุตสาหกรรมขั้นแนะนำ,1,DEMO-A,,,กำหนดเอง,จัดแล้ว
2026-08-25,9-12,061000012,การจัดการซัพพลายเชน,1 2,DEMO-L1 DEMO-L2,,,สร้างอัตโนมัติ,จัดแล้ว
2026-08-26,9-12,061000002,การจัดการคุณภาพเบื้องต้น,1,DEMO-A,,,กำหนดเอง,จัดแล้ว
2026-10-14,9-12,061000001,การจัดการอุตสาหกรรมขั้นแนะนำ,1,DEMO-A,,,สร้างอัตโนมัติ,จัดแล้ว
2026-10-14,13-16,061000003,ระบบฐานข้อมูลเบื้องต้น,1,DEMO-C,,,สร้างอัตโนมัติ,จัดแล้ว
2026-10-14,13-16,061000004,การวิเคราะห์และออกแบบระบบ,1,DEMO-D,,,สร้างอัตโนมัติ,จัดแล้ว
2026-10-15,9-12,069000001,คณิตศาสตร์วิศวกรรม 1,1,DEMO-F,,,นำเข้า,จัดแล้ว
2026-10-15,9-16,061000005,การบริหารโครงการก่อสร้าง,1,DEMO-E,,,สร้างอัตโนมัติ,จัดแล้ว
2026-10-16,9-12,061000002,การจัดการคุณภาพเบื้องต้น,1,DEMO-A,,,สร้างอัตโนมัติ,จัดแล้ว
2026-10-16,13-16,061000007,ความปลอดภัยในงานก่อสร้าง,1 2 3,DEMO-GA DEMO-GB DEMO-GC,,,สร้างอัตโนมัติ,จัดแล้ว
2026-10-19,9-12,061000006,การจัดการโลจิสติกส์เบื้องต้น,1,DEMO-F,,,สร้างอัตโนมัติ,จัดแล้ว
2026-10-19,13-16,061000008,ภาษาอังกฤษเทคนิคอุตสาหกรรม,1,DEMO-H,,,สร้างอัตโนมัติ,จัดแล้ว
2026-10-20,9-12,061000010,การตลาดและการจัดการลูกค้า,1 2,DEMO-J1 DEMO-J2,,,สร้างอัตโนมัติ,จัดแล้ว
2026-10-20,13-16,061000011,การวิจัยดำเนินงาน,1,DEMO-K,,,สร้างอัตโนมัติ,จัดแล้ว
2026-10-22,9-12,061000012,การจัดการซัพพลายเชน,1 2,DEMO-L1 DEMO-L2,,,สร้างอัตโนมัติ,จัดแล้ว
,,061000008,ภาษาอังกฤษเทคนิคอุตสาหกรรม,1,DEMO-H,,,สร้างอัตโนมัติ,ไม่ต้องจัด
,,061000009,การบัญชีต้นทุน,1,DEMO-I,,,สร้างอัตโนมัติ,ไม่ต้องจัด
