,,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,,,,,,,,,,,รายงานระเบียนขบวนวิชา,,,,,,,,
,,ระบบตารางสอนตารางสอบ,,,,,,,,,,,มจพ. วิทยาเขตปราจีนบุรี ภาคการศึกษาที่ 2/2567,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
คณะศิลปศาสตร์ประยุกต์,,,,,,,,,,,,,ภาควิชาภาษา,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  รหัสวิชา,,,ชื่อวิชา,หน่วยกิต,,,,ตอน,"จำนวน นศ.
",,วัน,เวลาเรียน,สถานที่,อาจารย์ผู้สอน,กลุ่มนักศึกษา,สอบกลางภาค,,สอบปลายภาค,,,
,,,,รวม,ท.,ป.,ศ.,,เปิด,ลง,,,,,,วัน,เวลา,วัน,เวลา,,
080103002,,,English II,3,3,0,6,1,55,48,M,13:00-16:00,48-408,ผศ.ดร.สุภาลักษณ์ นครศรี,"FSN-1R-DE-RA
FSN-4R-RA
FSM-1R-RA
IPD-1R-RA
IPD-2R-RA
IPD-3R-RA",,,18/03/68,09:00-11:00,,
,,,,,,,,2,54,49,M,13:00-16:00,1-B3-09,อ.เยาวลักษณ์ ศรีแสงรัตน์,"IT-1R-DE-RA
IT-1R-DE-RC",,,18/03/68,09:00-11:00,,
,,,,,,,,3,58,58,M,13:00-16:00,1-B2-04,อ.ดร.ภูวดล คงทวี,"INE-1R-DE-RA
CA-1R-DE-RA",,,18/03/68,09:00-11:00,,
,,,,,,,,4,56,49,M,09:00-12:00,1-B2-04,ผศ.ดร.สุภาลักษณ์ นครศรี,"IEM-1R-DE-RA
AFE-1R-RA",,,18/03/68,09:00-11:00,,
,,,,,,,,5,60,40,M,09:00-12:00,1-B3-09,อ.เยาวลักษณ์ ศรีแสงรัตน์,"IT-1R-DE-RB
MM-1R-DE-RA",,,18/03/68,09:00-11:00,,
,,,,,,,,6,50,47,M,09:00-12:00,1-B2-05,อ.ดร.ภูวดล คงทวี,"IT-1R-DE-RC
IT-1R-DE-RD",,,18/03/68,09:00-11:00,,
,,,,,,,,7,70,67,W,13:00-16:00,55-410,อ.ดวงตา ใจเพชร,"TH-1R-DE-RA
InAE-1R-DE-RA",,,18/03/68,09:00-11:00,,
,,,,,,,,8,55,52,W,09:00-12:00,55-410,อ.ดวงตา ใจเพชร,IBT-1R-DE-RA,,,18/03/68,09:00-11:00,,
,,,,,,,,9,45,29,TU,09:00-12:00,55-414,อ.ดร.อัญชกาญจน์ เอี่ยมทองอินทร์,IBT-1R-DE-RB,,,18/03/68,09:00-11:00,,
