ไม่มีสอบกลางภาค/สอบนอกตาราง,ไม่มีสอบปลายภาค,ไม่มีสอบ,วิชาเดียวแต่สอบสองช่วง  (กำหนดให้เป็น 9.00-16.00 น.),ให้มีวัน เวลา สอบ ตรงกัน,,,,,,,
060123432,060436006,060113405,060243104,060133403,060123402,,,,,,
060133424,060436012,060133421,060233106,060133419,060123428,,,,,,
060436010,060436018,060133427,,060133424,060123419,,,,,,
060436011,060443204,060223128,,060243407,060243504,060243605,060243705,,,,
,,060223136,,060243408,060243505,060243603,060243716,,,,
,,060233116,,060243504,0602434074,060243605,060243705,,,,
,,060233402,,060243505,060243408,060243716,060243603,,,,
,,060233502,,060435007,060443518,,,,,,
,,060243202,,,,,,,,,
,,060243203,,,,,,,,,
,,060243302,,,,,,,,,
,,060434001,,,,,,,,,
,,060434002,,,,,,,,,
,,060434003,,,,,,,,,
,,060434004,,,,,,,,,
,,060434009,,,,,,,,,
,,060434014,,,,,,,,,
,,060434020,,,,,,,,,
,,060435006,,,,,,,,,
,,060435008,,,,,,,,,
,,060435012,,,,,,,,,
,,060435015,,,,,,,,,
,,060435016,,,,,,,,,
,,060435019,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
